name,personal_no,card_no,phones
"Fred Schamberger DVM",6589830284,316125720,"2775712070, 4728360359, 7892704138, 8047341929"
"Miss Idella Crona",0458782398,217525618,"0719590062, 1869549837, 2257593665, 4547446171, 7378272858"
"Ruthe Feest MD",7570977595,677610426,
"Ernestine Hammes DDS",5998957352,181848918,"2672188981, 6402756496, 7730827775, 9260960551"
"Genesis Boehm",4362835921,643946098,"0528937377, 8600818773, 9423917888"
"Mr. D'angelo Leffler",4295699974,329941521,"0860909156, 1862276868, 7674728955"
"Dr. Noe Streich",3368978752,395065000,
"Lelah Bosco",4290221464,734276323,"0475460399, 1980808941, 6043294173, 6621261912"
"Max Boehm",1721519847,935570235,0888097583
"Demond Kessler",7432786629,847433928,"1389399362, 1734768684, 6020094464, 9295449445, 9746785878"
"Sidney Howe",5017065419,963283033,"0664243018, 9966649778"
"Dr. Evelyn Hill DDS",8198386282,568507588,"4695280242, 5409252099, 7899605366"
"Joannie Bergstrom DDS",5940068938,385024363,
"Prof. Ole Kuphal",8263077525,392356537,"8014856370, 9179141046, 9891483426"
"Matilda Grant",6831109848,137004650,5906793180
"Merlin Bode",5251520772,543414389,"1209560658, 3894768699, 5261079850, 9221212089"
"Meagan Hammes",2904759489,628670978,"0772916748, 1153871035, 2621288522, 9212987149, 9662458749"
"Lenore Wiza",4409318535,794950423,
"Prof. Dewayne Abshire DDS",0557020758,290670206,"3340188136, 6150006402, 7272258784"
"Alfonso Hessel",3831373130,053199801,2633332701
"Mr. Carol Runolfsson Sr.",8208267638,594717564,
"Lee Borer",9452639153,075139873,
"Nia Ernser I",4121287454,559575873,"2689904325, 4816418795"
"Prof. Alexandro Tremblay Sr.",0864409032,113502645,"0189691754, 4128952637"
"Stewart Wolff",7659391658,327123889,"0857679450, 3303824509, 6362397309, 7486958655, 9499816945"
"Merle Parker",6752006808,954328797,"1232477931, 2692094703, 4306562411, 8737659787, 9292884012"
"Lera Schaefer",1212724533,984680470,
"Mable Bartell",9276702431,766095681,6121654585
"Gennaro Harber",1632003641,426465255,"6082498856, 8735736031, 9376154172"
"Prof. Conrad Renner Sr.",9343570376,476211344,3116105984
"Mr. Emmitt Feeney DVM",0667117170,456218200,"5875153396, 8357748994"
"Pearline Williamson",5368312813,802557230,"1047661033, 6695531582"
"Dr. Sally Bogisich",8941245058,929760621,"0381285243, 1343759479, 4276951238, 4446118738"
"Petra Stiedemann",6740108629,218134819,1819561141
"Jared Rowe Sr.",9352235039,587650974,"2343978628, 6851100251"
"Ms. Delores Walker",4153513705,468019070,"1589727932, 4651552292, 6159906498, 6804743328, 8321560284"
"Clara Jerde",0925873025,030041958,"6622543060, 7732859890"
"Neha DuBuque",8547522999,739750137,"0922253266, 2316733298, 3278553330"
"Santos Murray",5117228513,925350804,"1045178344, 1442324699, 6826061173, 6865494537, 7636066446"
"Creola Kuhlman",5765061456,162625935,"2083977126, 2229605634, 2585504382, 4152705601"
"Brock Monahan",2484638205,847841812,
"Justyn Stokes MD",0874781700,970464902,"1582706317, 6031454980, 8823989358"
"Cary Beahan II",3607334414,413974693,
"Mr. Gayle Barrows IV",7851536549,332000855,"0556861354, 0672956684, 2150608859, 8420037823, 9131598700"
"Miss Felicita Langworth",6342117051,240617835,9889756932
"Easton Skiles",0851155783,693464566,"1598518626, 4643910310"
"Zora Blanda",0491596940,717994250,"2566131781, 2633954097, 6945237018, 7325131447"
"Lizeth Medhurst III",1827158933,829481061,"1382261316, 2011293028, 4411428598, 5126426528"
"Mr. Jarrod Walker",4931441845,091709238,"2311125188, 3805196781, 4932395975, 7516120290, 9798849620"
"Andrew Upton",1132486951,189160023,2806335579
"Maeve Greenfelder",3295921819,832460348,
"Asha Medhurst DDS",5362489232,243028384,"2129125636, 6597732716, 7930862489, 8993273118, 9047833595"
"Mr. Jack Erdman PhD",0874726584,641099521,"4669275518, 6799561667"
"Dr. Helen Bode Jr.",4252288072,075698579,3558945700
"Jarvis Jacobi",1604417105,957052876,"2252050290, 5257410685, 9202154571"
